date,sentiment,vel
20210331,0.6328,down
20210401,0.2716,up
20210402,0.1779,up
20210403,0,down
20210404,0,up
20210405,0,up
20210406,0,down
20210407,-0.296,down
20210408,-0.0481,up
20210409,-1.0796,down
20210410,-0.4974,up
20210411,-0.6001,up
20210412,0.2263,down
20210413,-0.0837,up
20210414,-0.7092,down
20210415,-0.6961,up
20210416,-0.3745,down
20210417,-0.8536,down
20210418,-1.1472,down
20210419,-0.8968,down
20210420,-0.6342,up
20210421,0.002,down
20210422,-0.3443,down
20210423,-0.705,down
20210424,-0.2835,down
20210425,-0.7308,down
20210426,-0.6854,up
20210427,-0.6705,up
20210428,-0.1722,down
20210429,-0.3144,down
20210430,0.1538,up
20210501,-0.212,up
20210502,-0.8825,down
20210503,0.4747,up
20210504,0.6124,down
20210505,-0.3818,up
20210506,0.0428,down
20210507,0.9771,up
20210508,1.6969,up
20210509,1.7175,down
20210510,1.3263,down
20210511,0.4319,up
20210512,0.8006,down
20210513,-0.3248,down
20210514,-0.9868,up
20210515,-0.9868,down
20210516,-0.0691,down
20210517,-1.7348,down
20210518,-0.184,down
20210519,-0.5434,down
20210520,-0.4325,up
20210521,0.6554,down
20210522,-0.0543,up
20210523,0.6164,down
20210524,0.5535,up
20210525,1.8302,down
20210526,0.1691,up
20210527,0.402,down
20210528,-0.4329,down
20210529,0.5171,down
20210530,-0.3049,up
20210531,-0.8976,up
20210601,0.6613,down
20210602,0.2386,up
20210603,0.1942,up
20210604,-0.5935,down
20210605,-0.148,down
20210606,0.7904,up
20210607,0.6042,down
20210608,-0.1691,down
20210609,0.6238,up
20210610,0.5423,down
20210611,0.2023,up
20210612,0.2023,down
20210613,0.6238,up
20210614,0.1507,up
20210615,0,down
20210616,1.2496,down
20210617,0,down
20210618,-0.6249,down
20210619,0.6222,down
20210620,0.6222,up
20210621,-0.6486,down
20210622,-1.6487,up
20210623,0,up
20210624,0.2263,up
20210625,0.4103,down
20210626,0.4595,up
20210627,0.2332,up
20210628,0.2069,down
20210629,-0.5838,up
20210630,-0.743,down
20210701,0.0925,down
20210702,-0.7351,up
20210703,-0.6426,up
20210704,-0.6426,up
20210705,0.34,down
20210706,0,up
20210707,0,down
20210708,-0.6369,down
20210709,0,up
20210710,0,down
20210711,0,up
20210712,0.34,down
20210713,0,down
20210714,0.1004,up
20210715,0,down
20210716,0.5994,down
20210717,0.5994,up
20210718,0.5994,up
20210719,-0.1436,down
20210720,0.0407,down
20210721,0.4168,up
20210722,0,up
20210723,-0.5423,up
20210724,-0.5423,up
20210725,0.5106,up
20210726,-0.5423,up
20210727,0,up
20210728,0,up
20210729,-0.2732,up
20210730,-0.2732,up
20210731,-0.2732,down
20210801,0,down
20210802,0,down
20210803,-1.1813,down
20210804,-1.678,up
20210805,0,up
20210806,0,up
20210807,0,up
20210808,0,down
20210809,0.3818,up
20210810,0,down
20210811,0.6369,down
20210812,-0.1027,down
20210813,-0.1027,up
20210814,0.25,down
20210815,0.25,down
20210816,0,down
20210817,-0.4684,down
20210818,0.0246,up
20210819,0,up
20210820,0,up
20210821,0,down
20210822,0,up
20210823,-0.6572,up
20210824,0,down
20210825,0,up
20210826,0,down
20210827,0.4019,up
20210828,-0.296,down
20210829,-0.296,down
20210830,0,down
20210831,0.7201,up
20210901,-0.2341,up
20210902,-0.3802,up
20210903,0,up
20210904,0.2748,down
20210905,0.2748,up
20210906,0,up
20210907,-0.9635,down
20210908,-0.6488,down
20210909,-0.2779,up
20210910,0,down
20210911,-0.2273,up
20210912,0,up
20210913,-1.0211,down
20210914,-1.0194,up
20210915,0.2141,up
20210916,-0.6597,down
20210917,0.3596,down
20210918,0,up
20210919,0,down
20210920,-1.9342,down
20210921,-0.9007,down
20210922,-0.4767,up
20210923,-0.4767,up
20210924,0.4785,down
20210925,0.4785,down
20210926,0.25,up
20210927,0,down
20210928,0.4215,down
20210929,0.9062,up
20210930,0,up
20211001,0,up
20211002,0,down
20211003,-0.1027,up
20211004,-0.5434,up
20211005,0,up
20211006,0,up
20211007,0,down
20211008,1.387,up
20211009,0.8931,up
20211010,1.4128,down
20211011,0.6457,up
20211012,0.5749,down
20211013,0,up
20211014,1.4547,down
20211015,1.8685,up
20211016,1.9772,down
20211017,0.8535,up
20211018,-0.119,up
20211019,1.2175,up
20211020,0.6249,up
20211021,0.6249,down
20211022,0,down
20211023,0,up
20211024,0,down
20211025,0.1494,up
20211026,0.4676,down
20211027,0.424,down
20211028,0.2023,up
20211029,0,up
20211030,-0.1027,down
20211031,0,down
20211101,0.4337,down
20211102,0,up
20211103,0.3612,down
20211104,0.2953,down
20211105,-1.0534,down
20211106,-0.3144,up
20211107,-0.25,up
20211108,-0.3818,up
20211109,-0.2216,down
20211110,0.25,down
20211111,0,down
20211112,0.3818,down
20211113,0.3818,up
20211114,1.0187,up
20211115,0,down
20211116,-0.2732,down
20211117,0.4588,up
20211118,-0.1143,down
20211119,-0.4588,up
20211120,-0.4588,up
20211121,0.2732,down
20211122,0,down
20211123,0,up
20211124,0,down
20211125,0,up
20211126,0.4341,down
20211127,0.7073,up
20211128,0.7073,up
20211129,0.7073,up
20211130,1.3124,down
20211201,0.2873,up
20211202,0.1779,down
20211203,0,down
20211204,0.25,down
20211205,0.25,up
20211206,-1.0115,up
20211207,0,up
20211208,0.5875,down
20211209,0.3007,down
20211210,0,down
20211211,0,up
20211212,0,up
20211213,0,down
20211214,-0.8033,down
20211215,0,up
20211216,0.0432,down
20211217,-1.2178,down
20211218,-0.6486,up
20211219,0,down
20211220,0,up
20211221,0.128,up
20211222,-0.4767,down
20211223,0,up
20211224,-0.3487,up
20211225,-0.3487,down
20211226,-0.3487,up
20211227,-0.6124,down
20211228,-0.6124,down
20211229,-0.6124,down
20211230,-0.6124,up
20211231,-0.6124,down
20220101,-0.6124,up
20220102,-0.6124,down
20220103,-0.6124,down
20220104,0.5161,down
20220105,0.4404,down
20220106,-0.5079,down
20220107,-0.6124,down
20220108,0,up
20220109,0,up
20220110,1.0584,down
20220111,0,up
20220112,-0.4019,up
20220113,0,down
20220114,0,up
20220115,0.4052,up
20220116,0.3612,down
20220117,0,down
20220118,0.2023,up
20220119,0,down
20220120,0,down
20220121,-1.2993,down
20220122,-0.7419,down
20220123,-0.34,up
20220124,0.2691,up
20220125,-0.917,up
20220126,0.3561,down
20220127,-0.5562,up
20220128,-0.4215,up
20220129,-0.0516,up
20220130,-0.8422,down
20220131,0,up
20220201,-0.4761,up
20220202,0,down
20220203,0.872,up
20220204,0,up
20220205,-0.6694,down
20220206,-0.8957,up
20220207,0.2023,up
20220208,0.223,up
20220209,0.556,up
20220210,0.3537,down
20220211,0.3612,down
20220212,0.9606,down
20220213,0.9606,down
20220214,1.8747,up
20220215,0.284,up
20220216,0.3612,down
20220217,0.5758,down
20220218,1.2522,down
20220219,-0.2637,up
20220220,-0.2637,down
20220221,-0.2637,down
20220222,0,up
20220223,0.3612,down
20220224,0.4215,up
20220225,0.3612,up
20220226,0.284,down
20220227,0.3612,down
20220228,0.102,up
20220301,-0.4974,up
20220302,1.07,down
20220303,0.3612,down
20220304,0.8016,down
20220305,0.8016,up
20220306,0.8016,down
20220307,0.5207,down
20220308,0.3612,up
20220309,0.0652,up
20220310,0,down
20220311,0,down
20220312,0,up
20220313,0,down
20220314,0.3612,up
20220315,0,down
20220316,0.6705,up
20220317,0,down
20220318,0,up
20220319,0,up
20220320,0,down
20220321,0,down
20220322,0,up
20220323,0,up
20220324,0,up
20220325,0,up
20220326,0,up
20220327,0,up
20220328,0,up
20220329,0,up
20220330,0.0772,down
20220331,0.0772,down
